well_id,FieldIndex,x_micrometer,y_micrometer,z_micrometer,pixel_size_z,z_pixel,Time,pixel_size_x,pixel_size_y,x_pixel,y_pixel,bit_depth,x_micrometer_original,y_micrometer_original
B07,3,-79.8,292.6,0,1.0,247,2022-05-30 18:54:54.149000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-79.8,292.6
B07,4,2103.0,1300.1,0,1.0,247,2022-05-30 18:57:12.422000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,2103.0,1300.1
B07,5,-234.7,2449.6,0,1.0,247,2022-05-30 18:59:30.099000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-234.7,2449.6
C02,1,-744.9,-2406.7,0,1.0,247,2022-05-30 19:08:58.339000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-744.9,-2406.7
C02,2,2251.5,-1502.6,0,1.0,247,2022-05-30 19:11:18.467000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,2251.5,-1502.6
C02,3,-1868.6,-889.1,0,1.0,247,2022-05-30 19:13:36.960000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1868.6,-889.1
C02,4,462.6,-275.6,0,1.0,247,2022-05-30 19:15:55.355000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,462.6,-275.6
C02,5,2794.0,-10.8,0,1.0,247,2022-05-30 19:18:13.839000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,2794.0,-10.8
C02,6,-1410.1,1616.5,0,1.0,247,2022-05-30 19:20:32.369000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1410.1,1616.5
C02,7,1650.9,1900.7,0,1.0,247,2022-05-30 19:22:50.971000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1650.9,1900.7
C03,1,1114.9,-1935.3,0,1.0,247,2022-05-30 19:31:54.321000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1114.9,-1935.3
C03,2,-1306.8,-1405.7,0,1.0,247,2022-05-30 19:34:13.626000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1306.8,-1405.7
C03,3,604.7,-23.7,0,1.0,247,2022-05-30 19:36:31.852000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,604.7,-23.7
C03,4,1560.5,260.3,0,1.0,247,2022-05-30 19:38:49.969000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1560.5,260.3
C03,5,1786.5,1480.9,0,1.0,247,2022-05-30 19:42:09.011000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1786.5,1480.9
C03,6,-848.3,1842.6,0,1.0,247,2022-05-30 19:44:27.150000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-848.3,1842.6
C04,1,1650.9,-1980.5,0,1.0,247,2022-05-30 19:52:42.694000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1650.9,-1980.5
C04,2,-273.5,-1237.8,0,1.0,247,2022-05-30 19:55:02.147000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-273.5,-1237.8
C04,3,-1952.6,-843.9,0,1.0,247,2022-05-30 19:57:19.991000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1952.6,-843.9
C04,4,656.4,34.3,0,1.0,247,2022-05-30 19:59:38.149000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,656.4,34.3
C04,5,759.7,938.4,0,1.0,247,2022-05-30 20:01:56.290000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,759.7,938.4
C04,6,-899.9,1745.7,0,1.0,247,2022-05-30 20:04:14.129000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-899.9,1745.7
C05,1,1786.5,-1819.0,0,1.0,247,2022-05-30 20:14:31.241000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1786.5,-1819.0
C05,2,-447.9,-1599.5,0,1.0,247,2022-05-30 20:16:51.240000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-447.9,-1599.5
C05,3,-1810.5,-1373.4,0,1.0,247,2022-05-30 20:19:09.991000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1810.5,-1373.4
C05,4,-2010.7,-288.5,0,1.0,247,2022-05-30 20:21:28.578000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-2010.7,-288.5
C05,5,753.2,-23.7,0,1.0,247,2022-05-30 20:23:47.173000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,753.2,-23.7
C05,6,2051.3,40.8,0,1.0,247,2022-05-30 20:26:05.869000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,2051.3,40.8
C05,7,1579.9,1409.9,0,1.0,247,2022-05-30 20:28:24.602000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1579.9,1409.9
C06,1,2264.4,-1670.5,0,1.0,247,2022-05-30 20:37:25.892000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,2264.4,-1670.5
C06,2,236.6,92.4,0,1.0,247,2022-05-30 20:39:45.086000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,236.6,92.4
